,Customer ID,Gender,Age,Senior Citizen,Married,Dependents,Tenure in Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Churn
0,8779-QRDMV,Male,78,Yes,No,No,1,No,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,39.65,39.65,Yes
1,7495-OOKFY,Female,74,Yes,Yes,Yes,8,Yes,Yes,Yes,No,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,80.65,633.3,Yes
2,1658-BYGOY,Male,71,Yes,No,Yes,18,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,1752.55,Yes
3,4598-XLKNJ,Female,78,Yes,Yes,Yes,25,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,2514.5,Yes
4,4846-WHAFZ,Female,80,Yes,Yes,Yes,37,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,76.5,2868.15,Yes
5,4412-YLTKF,Female,72,Yes,No,Yes,27,Yes,Yes,Yes,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,2135.5,Yes
6,0390-DCFDQ,Female,76,Yes,Yes,Yes,1,Yes,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,70.45,70.45,Yes
7,3445-HXXGF,Male,66,Yes,Yes,No,58,No,No,Yes,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.3,2651.2,Yes
8,2656-FMOKZ,Female,70,Yes,No,Yes,15,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,74.45,1145.7,Yes
9,2070-FNEXE,Female,77,Yes,No,Yes,7,Yes,No,Yes,Yes,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,76.45,503.6,Yes
10,0094-OIFMO,Female,78,Yes,No,Yes,11,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,Yes
11,9947-OTFQU,Male,65,Yes,No,No,15,Yes,No,Yes,No,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,74.4,1074.3,Yes
12,9514-JDSKI,Male,77,Yes,Yes,No,1,No,No,Yes,No,Yes,No,No,Yes,No,Month-to-Month,No,Bank Withdrawal,40.2,40.2,Yes
13,7273-TEFQD,Male,67,Yes,No,No,3,No,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.15,132.2,Yes
14,3606-TWKGI,Male,68,Yes,No,No,13,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,106.9,1364.3,Yes
15,4385-GZQXV,Female,68,Yes,No,No,16,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,1511.2,Yes
16,3488-PGMQJ,Male,66,Yes,No,No,8,Yes,No,Yes,No,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,74.5,606.55,Yes
17,7534-BFESC,Male,69,Yes,No,No,24,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,76.1,1712.7,Yes
18,8098-LLAZX,Female,74,Yes,No,No,4,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,396.1,Yes
19,0265-EDXBD,Male,76,Yes,Yes,No,32,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,Yes
20,2840-XANRC,Male,77,Yes,Yes,No,24,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2231.05,Yes
21,5020-ZSTTY,Female,70,Yes,No,No,54,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,82.45,4350.1,Yes
22,5804-LEPIM,Female,74,Yes,No,No,2,Yes,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,70.35,139.05,Yes
